Tamano,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5000,233.161,27.9891,94.0076,39.5447,257.864,81.0797,206.624,376.355,373.973,459.201,508.946,996.56,1303.1,1733.61,1902.31,1460.8,1666,1034.44
10000,138.979,35.8117,178.855,64.8134,394.975,231.478,203.883,80.3498,248.519,1727.23,1349.92,2003.99,472.877,1394.74,3094.42,3364.59,4750.58,3007.38
15000,138.616,16.2699,28.0695,64.4118,142.237,220.303,526.843,1538.7,306.457,748.445,2013.48,1112.72,1972.16,2599.83,4347.21,3407.52,3734.74,4756.92
20000,531.114,40.6693,90.4353,82.1938,105.538,354.435,613.804,246.197,1887.57,1946.69,1315.87,1532.2,2679.62,965.752,1624.17,3645.11,8732.5,4979.76
25000,119.304,48.1527,82.6756,62.376,182.04,299.563,427.256,1035.82,1128.7,1649.27,3316.76,2511.97,926.156,2763.82,7145.16,4050.44,7353.99,3419.77
30000,750.894,23.4389,27.7553,136.527,456.237,535.263,319.961,1496.14,1144.95,801.281,1269.26,2986.42,2319.47,9182.99,8383.89,4712.06,8840.2,6836.8
35000,766.056,14.8204,45.6909,111.273,272.304,954.26,510.113,555.189,868.068,2122.45,2011.7,1060.82,653.509,2138.19,6016.94,7538.42,5312.79,3411.2
40000,25.6704,38.2316,41.413,112.261,160.256,522.684,470.82,1809.01,1634.88,3695.08,382.609,2577.2,1871.62,4329.07,6314.76,3475.21,5833.12,4096.06
45000,24.9581,31.4498,55.1579,228.684,229.564,528.495,681.205,426.477,1435.3,1738.19,415.665,1484.78,1055.68,3291.22,6225.6,5861.45,3282.95,8716.47
50000,502.786,124.106,124.047,355.884,240.159,337.316,655.311,421.19,1000.83,1159.09,834.914,2596.27,933.119,2957.28,2082.5,2255.59,13251.2,2877.57
55000,25.5762,64.4397,896.927,18.8085,165.264,404.208,872.136,1554.08,909.421,3120.79,2718.45,3775.35,3452.33,3623.57,1945.05,1224.12,8033.25,13707.4
60000,20.2961,100.203,93.2533,188.011,362.711,163.326,1122.7,128.412,1201.1,1871.77,3102.14,7791.82,3656.3,7077.27,2387.93,4466.43,5231.65,4923.86
65000,208.039,36.8243,64.1534,555.716,508.363,315.323,364.726,1494.73,1849.47,142.31,1105.67,4072.19,3820.11,2918.75,3883.71,9595.52,9517.11,9121.12
70000,40.7319,34.5962,87.1038,832.588,907.958,116.832,301.082,2070.05,2756.54,1433.58,4324.51,3545.41,1419.31,4331.49,11693.6,7342.62,6359.6,19345.5
