5200	-0.205078
5100	-0.198821
5000	-0.192939
4900	-0.18745
4800	-0.186615
4700	-0.178556
4600	-0.176722
4500	-0.173868
4400	-0.168895
4300	-0.165309
4200	-0.163281
4100	-0.15534
4000	-0.153565
3900	-0.151568
3800	-0.145285
3700	-0.141797
3600	-0.141375
3500	-0.136827
3400	-0.129852
3300	-0.12915
3200	-0.123497
3100	-0.119665
3000	-0.116252
1300	-0.0498277
1200	-0.0455431
1100	-0.0421098
1000	-0.0385708
900	-0.0349006
800	-0.0308558
700	-0.0269811
600	-0.0230735
500	-0.0189776
400	-0.0155929
300	-0.0113152
200	-0.00778572
100	-0.00380397
1400	-0.0538975
1500	-0.057618
1600	-0.0619295
1700	-0.0656527
1800	-0.0696477
1900	-0.073997
2000	-0.0777048
2100	-0.0825727
2200	-0.0859843
2300	-0.0904668
2400	-0.0943936
2500	-0.0992943
2600	-0.102553
2700	-0.106243
2800	-0.109992
2900	-0.114911
