5200	3.2201e-05
5100	3.4235e-05
5000	2.9666e-05
4900	3.0758e-05
4800	3.157e-05
4700	3.8072e-05
4600	4.3804e-05
4500	2.9867e-05
4400	2.8294e-05
4300	3.2281e-05
4200	2.5679e-05
4100	2.7542e-05
4000	3.1991e-05
3900	4.1128e-05
3800	2.4306e-05
3700	2.5449e-05
3600	3.2793e-05
3500	2.3354e-05
3400	2.0188e-05
3300	2.0529e-05
3200	2.614e-05
3100	2.3975e-05
3000	1.7854e-05
1300	5.16e-06
1200	5.13e-06
1100	4.008e-06
1000	3.527e-06
900	3.146e-06
800	2.675e-06
700	2.394e-06
600	2.054e-06
500	1.703e-06
400	1.743e-06
300	1.312e-06
200	8.31e-07
100	1.673e-06
1400	6.362e-06
1500	6.051e-06
1600	5.641e-06
1700	6.863e-06
1800	9.759e-06
1900	7.434e-06
2000	8.526e-06
2100	7.144e-06
2200	9.648e-06
2300	9.188e-06
2400	1.3566e-05
2500	2.0188e-05
2600	1.9006e-05
2700	2.0539e-05
2800	2.0559e-05
2900	2.116e-05
